created_at,type,name,link
2026-06-10 16:10:10.791191+00,video,Technical Discussion on AI Agent Strategy and Project Epics,https://uicslsnhtfjdjxotwalq.supabase.co/storage/v1/object/public/recordings/recordings/2c2d5359-8962-4650-a48c-39647e049ced/recording_1781107838609.mp4
2026-06-10 13:48:32.517107+00,video,Odoo Client Support Takeover Briefing,https://uicslsnhtfjdjxotwalq.supabase.co/storage/v1/object/public/recordings/recordings/02618f2f-0e40-4446-b22f-a083552e0fe0/recording_1781099320097.mp4
2026-06-10 12:12:07.019601+00,video,ERP Discovery Call with T&K Food Supply Group,https://uicslsnhtfjdjxotwalq.supabase.co/storage/v1/object/public/recordings/recordings/a61cadc6-fb11-45ec-b565-628ae7436696/recording_1781093538276.mp4
2026-06-10 10:26:14.682863+00,video,"Website Development, A/B Testing, and GitHub Organization",https://uicslsnhtfjdjxotwalq.supabase.co/storage/v1/object/public/recordings/recordings/ffc0bb37-2d1f-4193-b5a8-398452d27ec6/recording_1781087192914.mp4
2026-06-10 09:41:32.408402+00,audio,Strategy for Structuring the Arica Project Data,https://uicslsnhtfjdjxotwalq.supabase.co/storage/v1/object/public/recordings/242b22a1-4351-40bf-9525-10ae744c9331/242b22a1-4351-40bf-9525-10ae744c9331.mp4
2026-06-08 18:02:06.649352+00,video,Nocap Project: 90-Day Plan and Workflow Overhaul,https://uicslsnhtfjdjxotwalq.supabase.co/storage/v1/object/public/recordings/recordings/cb9ff58d-269e-4919-9e4b-f2033732477d/meeting.mp4
2026-06-05 20:30:16.242937+00,audio,Concept for a Goal-Oriented AI Communication Assistant,https://uicslsnhtfjdjxotwalq.supabase.co/storage/v1/object/public/recordings/34f0bd44-146f-4364-a4a9-da89d59a14be/34f0bd44-146f-4364-a4a9-da89d59a14be.mp4
2026-06-04 13:45:36.5695+00,audio,AI Integration Strategy for Customer Experience,https://uicslsnhtfjdjxotwalq.supabase.co/storage/v1/object/public/recordings/8582a326-4531-46d8-8e39-165116b45411/8582a326-4531-46d8-8e39-165116b45411.mp4
2026-06-04 11:50:52.885985+00,audio,Microphone Recording 2026-06-04 08-04,https://uicslsnhtfjdjxotwalq.supabase.co/storage/v1/object/public/sources/39e0540b-7162-405a-848c-f628a37bb985/dbbad994-8b58-4988-94a0-2035fab50fad-Microphone_Recording_2026-06-04_08-04
2026-06-03 20:22:15.953808+00,audio,New Use Case for Nocap as an AI Automation Tool,https://uicslsnhtfjdjxotwalq.supabase.co/storage/v1/object/public/recordings/2d27e186-3bfb-4912-9665-2fb1ea4ab91c/2d27e186-3bfb-4912-9665-2fb1ea4ab91c.mp4
2026-06-01 15:27:24.074641+00,video,Accounting Sync on Reconciliation and Dashboard Updates,https://uicslsnhtfjdjxotwalq.supabase.co/storage/v1/object/public/recordings/recordings/621e2285-d8d2-4129-a490-2fc12c2b72ed/meeting.mp4
2026-06-01 09:59:52.557593+00,video,Brief Project Check-in in Arabic,https://uicslsnhtfjdjxotwalq.supabase.co/storage/v1/object/public/recordings/recordings/b9b0e25e-5110-4d96-88e1-39a2c596434c/recording_1780308008162.mp4
2026-05-28 11:29:21.829068+00,audio,Training Open Source Models with Surveillance Data,https://uicslsnhtfjdjxotwalq.supabase.co/storage/v1/object/public/recordings/8975e63b-4984-4b28-8bf9-3e3d874c083d/8975e63b-4984-4b28-8bf9-3e3d874c083d.mp4
2026-05-28 11:28:46.89905+00,audio,Idea for Developing AI with Confirmed Data,https://uicslsnhtfjdjxotwalq.supabase.co/storage/v1/object/public/recordings/85f828f9-026f-4468-8ab6-7e9f75474d2b/85f828f9-026f-4468-8ab6-7e9f75474d2b.mp4
2026-05-27 01:23:51.319267+00,audio,Odoo Integration Idea for User and Partner Workflows,https://uicslsnhtfjdjxotwalq.supabase.co/storage/v1/object/public/recordings/b56d6d62-ce30-4964-90f0-e284b5ba081b/b56d6d62-ce30-4964-90f0-e284b5ba081b.mp4
2026-05-27 01:20:00.153731+00,audio,Nocap Product Idea: Claude AI Integration and Guest Features,https://uicslsnhtfjdjxotwalq.supabase.co/storage/v1/object/public/recordings/a6896158-75d0-4eeb-a672-3bf424d6ff84/a6896158-75d0-4eeb-a672-3bf424d6ff84.mp4
2026-05-27 01:17:40.503457+00,audio,Strategizing a Local Open-Source Version of Nocap,https://uicslsnhtfjdjxotwalq.supabase.co/storage/v1/object/public/recordings/d968850d-5934-40d9-b94a-9a9a71fe8cad/d968850d-5934-40d9-b94a-9a9a71fe8cad.mp4
2026-05-27 01:14:59.704408+00,audio,Idea for Project-Based AI Routines in Nocap,https://uicslsnhtfjdjxotwalq.supabase.co/storage/v1/object/public/recordings/ad4463be-601e-4057-908a-7703808b2139/ad4463be-601e-4057-908a-7703808b2139.mp4
2026-05-26 17:08:28.383702+00,video,Financial Meeting on COGS and Revenue Recognition,https://uicslsnhtfjdjxotwalq.supabase.co/storage/v1/object/public/recordings/recordings/c28afdb1-dcb7-4ed4-a47e-8968ea21a2ca/recording_1779815335664.mp4
2026-05-25 19:26:20.824942+00,audio,Purchase Order Validation Rules for Subcontracting,https://uicslsnhtfjdjxotwalq.supabase.co/storage/v1/object/public/recordings/a5e6a53c-057a-444f-abc2-9a6e69306345/a5e6a53c-057a-444f-abc2-9a6e69306345.mp4
