country,name,grade,phone,email,website,address,profile_url
Afghanistan,Prime Global Oriental Consultants & Auditors,Ready,+93 78 709 8321,ocafghanistan@gmail.com,http://www.ocafghan.com,"House 22, Street 17, Chart e 3,",https://www.odoo.com/partners/prime-global-oriental-consultants-auditors-11933754
Afghanistan,NETLINKS,Ready,+93 72 942 1266,shoaib@netlinks.af,,"NETLINKS Plaza, Street 6, Lane 3, Phase A, Shar-e-naw",https://www.odoo.com/partners/netlinks-4654
Afghanistan,Orhan Technology Company,Ready,+93 72 953 0377,faridoon@orhan.af,https://orhan.af/,"House No 15, Street 4 Qala e Fatullah, Kabul, Afghanistan",https://www.odoo.com/partners/orhan-technology-company-21881671
Albania,TechFin,Ready,,,,,https://www.odoo.com/partners/techfin-16824655
Albania,Prisma,Ready,+355 67 202 8271,info@tetrapro.al,https://prisma.al/,"Complex Kika 2, Bld 7, Floor 2",https://www.odoo.com/partners/prisma-22461283
Albania,TriK Tech,Ready,+355 69 257 6686,contact@triktech.al,https://triktech.al,"Njesia Bashkiake Nr. 2, Rruga Kostandin Kristoforidhi, Pallati 4, Shkalla 1, Ap. 39, Tirane",https://www.odoo.com/partners/trik-tech-29993658
Albania,STRING,Ready,+355 67 205 4128,sales@string.al,https://www.string.al,"'Tish Dajia', Kompleksi 'Haxhiu', Shkalla 6,",https://www.odoo.com/partners/string-10282328
Albania,Master IT,Silver,+355 69 213 0000,info@master.al,https://www.master.al/,"Rruga Bedri Karapici, Kompleksi Tirana Golden Park",https://www.odoo.com/partners/master-it-3909575
Albania,Zero l Odoo Partner,Silver,+355 68 21 43 018,zero.al@outlook.com,https://www.zero.com.al,"Rruga "" Fadil Rada "", Pallati i Ri, Ap.3.3, Kati i 4-t.",https://www.odoo.com/partners/zero-l-odoo-partner-4282933
Algeria,SIBIC,Silver,+213 560 03 33 65,h.lounissi@sibic.dz,https://sibic.dz/,"24, Amara 02, Cheraga",https://www.odoo.com/partners/sibic-1747888
Algeria,Cetelex,Ready,+213 (0) 781 220-507,"sales@cetelex.com, fethi.miloudi@cetelex.com",https://www.cetelex.com/,"21, Rue Mohamed Tahar Semani Hydra",https://www.odoo.com/partners/cetelex-5183470
Algeria,EURL BUSINESNA,Ready,+213 770 74 56 73,contact@businesna.dz,https://businesna.dz,"Buisnesna lot 253 Cite Douzi 03,",https://www.odoo.com/partners/eurl-businesna-11362831
